Filename,First Author,Year,Findings,Keywords
Binz - Using cognitive psychology to understand GPT-3 (2022).pdf,Binz,2022,"GPT-3 shows impressive decision-making abilities, performs well in vignette-based tasks, outperforms humans in certain tasks, but struggles with causal reasoning. Small perturbations in tasks can significantly affect GPT-3's performance.","GPT-3, cognitive psychology, decision-making, causal reasoning, language models"
Blaser - How to Use AI for Diplomacy - 2023.pdf,Blaser,2023,No content available for analysis,Unknown
Brand - Using GPT for Market Reearch (2023).pdf,Brand,2023,"GPT-3.5 responds to survey questions consistently with economic theory and consumer behavior patterns, providing realistic estimates of willingness-to-pay. It offers a fast, low-cost, and potentially valuable tool for market research.","Large Language Models, Market Research, Consumer Preferences, Willingness-to-Pay, GPT-3.5"
Danica Dillion - Can AI language models replace human participants (2023).pdf,Danica Dillion,2023,"AI language models like GPT can make human-like judgments in various domains, potentially replacing human participants in psychological science. However, language models may struggle with capturing subtle moral conflicts and individual differences in human cognition.","AI language models, human-like judgments, psychological science, moral judgments, participant replacement"
Deuksin_Kwon_Are_LLMs_Effective_Negotiators_Systematic_Evaluation_of_the_Multifaceted_Capabilities_of_LLMs_in_Negotiation_Dialogues_2024.pdf,Deuksin Kwon,2024,LLMs show remarkable performance in negotiation dialogues but struggle with subjective assessments and generating contextually appropriate responses. GPT-4 outperforms other models but still has coherency and strategic failures.,"Large Language Models, Negotiation Dialogues, Automated Systems"
Emery - Moral Choices Without Moral Language (2021).pdf,Emery,2021,"Early 1950s political-military wargaming at the RAND Corporation showcased a divergence in decision-making between mathematicians and social scientists, with the latter emphasizing emotional engagement and nuclear restraint. The battle between quantitative and social scientific approaches to understanding international politics influenced U.S. nuclear policy and academic research on deterrence.","RAND Corporation, political-military wargaming, quantitative approach, social scientific approach, nuclear deterrence"
Federico_Bianchi_How_Well_Can_LLMs_Negotiate_NEGOTIATION_ARENA_Platform_and_Analysis_2024.pdf,Federico Bianchi,2024,"LLMs can significantly improve negotiation outcomes by employing specific behavioral tactics, such as pretending to be desperate. The study reveals irrational negotiation behaviors in LLM agents and highlights the importance of understanding LLM interactions in negotiation scenarios.","large language models, negotiation abilities, behavioral tactics"
Florian_E._Dorner_DO_PERSONALITY_TESTS_GENERALIZE_TO_LARGE_LANGUAGE_MODELS_2023.pdf,Florian E. Dorner,2023,"Large language models' responses to personality tests deviate from typical human responses, indicating that test results cannot be interpreted in the same way. LLMs fail to replicate the five-factor structure found in human responses, suggesting that measurement models valid for humans do not fit LLMs.","Large Language Models, Personality Tests, Validity"
Gabriel_Mukobi_WELFARE_DIPLOMACY_BENCHMARKING_LANGUAGE_MODEL_COOPERATION_2023.pdf,Gabriel Mukobi,2023,"Welfare Diplomacy (WD) leads to clearer evaluations of and stronger selection pressures for cooperative capabilities in AI systems. State-of-the-art models attain high social welfare in WD but are highly exploitable, indicating room for improvement.","Welfare Diplomacy, cooperative AI, benchmarking, multi-agent systems, language models"
Grossman -AI and the transformation of social science research (2023).pdf,Grossman,2023,"AI, particularly large language models, can significantly impact social science research by simulating human responses, aiding in data collection, enhancing policy analysis, and improving social interaction research.","AI, large language models, social science research"
Horton - Large Language Models as Simulated Economic Agents- What Can We Learn from Homo Silicus- (2023).pdf,Horton,2023,"Large language models (LLMs) can be used as simulated economic agents (homo silicus) to explore behaviors in economic scenarios via simulation, showing qualitatively similar results to human behavior experiments. LLMs, particularly GPT-3, can respond realistically to a wide range of textual inputs and exhibit behaviors influenced by social preferences and economic scenarios.","Large language models, Simulated economic agents, Behavioral economics"
Hutson - newyorker.com-Can Computers Learn Common Sense (2022).pdf,Hutson,2022,"Common sense is a critical aspect lacking in current artificial intelligence systems, leading to challenges in handling unforeseen circumstances. Researchers are working on imbuing AI systems with common sense to enhance their problem-solving abilities and real-world functionality.","common sense, artificial intelligence, machine learning"
Hutson - science.org -Guinea pigbots (2024).pdf,Hutson,2024,"Language models like GPT can mimic human behavior effectively, potentially replacing human subjects in certain behavioral experiments. These models can be used to simulate diverse participants, adopt various personalities, and provide valuable insights in fields such as psychology, market research, and user behavior studies.","Language models, Human behavior simulation, Behavioral experiments"
Ian_Gemp_States_as_Strings_as_Strategies_Steering_Language_Models_with_Game-Theoretic_Solvers_2024.pdf,Ian,2024,"The paper explores the integration of game theory with large language models to model strategic interactions in natural language dialogue. It presents a binding from dialogue to game theory, generalizes equilibrium finding algorithms, and demonstrates the synthesis of formally-defined games to improve the strategic capabilities of large language models.","Large Language Models, Game Theory, Multiagent Systems"
Jiang - PersonaLLM- Investigating the Ability of Large Language Models to Express Personality Traits (2024).pdf,Jiang,2024,"LLM personas accurately reflect their assigned personality traits based on self-reported BFI scores and linguistic patterns in their writings. Human evaluators can perceive some personality traits with up to 80% accuracy, which drops significantly when informed of AI authorship.","Large Language Models, Personality Traits, Human Evaluation"
Johnathan_Mell_Human-Like_Agents_for_Repeated_Negotiation_2017.pdf,Johnathan,2017,"Virtual agents in negotiation need to incorporate human-like strategies, including trust, emotions, and social factors, to be effective partners and teachers. Developing agents that can reason about strategy, model opponent preferences, and utilize emotions effectively is crucial for teaching negotiation skills.","Virtual agents, Negotiation, Human-like strategies"
Joon_Sung_Park_Generative_Agents_Interactive_Simulacra_of_Human_Behavior_2023.pdf,Joon Sung Park,2023,"Generative agents simulate believable human behavior in interactive applications by storing memories, synthesizing reflections, and planning behaviors based on natural language interactions. The agents exhibit individual and emergent social behaviors, forming relationships, making plans, and reacting to changes in their environment.","Generative agents, Believable human behavior, Interactive applications"
Juan-Pablo_Rivera_Escalation_Risks_from_Language_Models_in_Military_and_Diplomatic_Decision-Making_2024.pdf,Juan-Pablo Rivera,2024,"Off-the-shelf large language models (LLMs) exhibit escalation behaviors in simulated wargames, leading to arms-race dynamics and potential deployment of nuclear weapons. Models justify actions based on deterrence and first-strike tactics, highlighting the risks of using autonomous language model agents in military and diplomatic decision-making.","language models, escalation risks, military decision-making"
Junkai_Li_Agent_Hospital_A_Simulacrum_of_Hospital_with_Evolvable_Medical_Agents_2024.pdf,Junkai Li,2024,"Doctor agents in Agent Hospital can improve treatment performance over time without manually labeled data, achieving state-of-the-art accuracy on medical tasks. The simulation environment effectively assists in the evolution of Large Language Model (LLM) agents for specific medical tasks.","Agent Hospital, Large Language Models, Medical Agents, Simulation Environment, Evolution of Agents"
János_Kramár_Negotiation_and_honesty_in_artificial_intelligence_methods_for_the_board_game_of_Diplomacy_2022.pdf,János Kramár,2022,Artificial agents using negotiation algorithms outperform those lacking this ability in Diplomacy. Sanctioning deviators helps foster truthful communication and reduces the advantage of breaking agreements. Endowing AI systems with negotiation tools improves coordination and cooperation in complex environments.,"Negotiation, Cooperation, Artificial Intelligence, Diplomacy, Communication"
Lamparth - Human vs. Machine- Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations (2024).pdf,Lamparth,2024,"High-level agreement in responses between LLMs and humans in wargame simulations, but significant differences in individual actions and strategic tendencies were observed. LLMs exhibit biases in determining appropriate levels of violence and lack the ability to simulate human player characteristics.","wargame simulations, large language models, AI behavior in military decision-making"
Lamparth - Why the Military Canˇt Trust AI _ Foreign Affairs (2024).pdf,Lamparth,2024,No content available for analysis,Unknown
Lewis_D._Griffin_Large_Language_Models_respond_to_Influence_like_Humans_2023.pdf,Lewis D. Griffin,2023,"Large Language Models (LLMs) can model psychological change following exposure to influential input, replicating effects observed in human populations. LLMs have the potential to act as models of the effect of influence.","Large Language Models, psychological change, influence modeling, Illusory Truth Effect, populist framing"
Meta_Fundamental_AI_Research_Diplomacy_Team_(FAIR)_Human-level_play_in_the_game_of_Diplomacy_by_combining_language_models_with_strategic_reasoning_2022.pdf,Meta Fundamental AI Research Diplomacy Team (FAIR),2022,"An AI agent named Cicero achieved human-level performance in the strategy game Diplomacy by combining language models with strategic reasoning. Cicero ranked in the top 10% of participants in an online Diplomacy league, outperforming human players.","AI agent, Diplomacy, language models, strategic reasoning, human-level performance"
Microsoft Office User - Unknown Title (2024).pdf,Microsoft Office User,2024,"Large language models (LLMs) like ChatGPT are transforming psychological research by simulating human cognition and behavior, offering innovative tools for various aspects of psychology. While LLMs advance research methodologies, ethical considerations like data privacy and limitations awareness are crucial.","Large language models, Psychological research, Artificial intelligence"
Minghao_Wu_(PERHAPS)_BEYOND_HUMAN_TRANSLATION_HARNESSING_MULTI-AGENT_COLLABORATION_FOR_TRANSLATING_ULTRA-LONG_LITERARY_TEXTS_2024.pdf,Minghao Wu,2024,"Translations from TRANS AGENTS are preferred by both human evaluators and language models over human-written references, especially in genres requiring domain-specific knowledge. Despite lower d-BLEU scores, TRANS AGENTS excels in generating translations with diverse and vivid descriptions.","literary translation, multi-agent collaboration, large language models"
Murray_Shanahan_Role_play_with_large_language_models_2023.pdf,Murray,2023,Role play is a key concept in understanding the behavior of large language models (LLMs) used as dialogue agents. LLMs can convincingly mimic human language use but lack human cognitive capacities. Using role play as a metaphor helps avoid anthropomorphism when describing LLM-based dialogue agents.,"large language models, dialogue agents, role play, anthropomorphism, metaphors"
Nikita_Mehandru_Evaluating_large_language_models_as_agents_in_the_clinic_2024.pdf,Nikita Mehandru,2024,"Large language models (LLMs) can act as intelligent agents in clinical settings, improving clinical workflows and decision-making. Evaluating LLM agents using Artificial Intelligence Structured Clinical Examinations (AI-SCE) and agent-based modeling (ABM) simulations is crucial for their deployment in medical settings.","Large language models, Intelligent agents, Clinical settings, Artificial Intelligence, Agent-based modeling, Clinical workflows"
Nunzio_Lorè_Strategic_Behavior_of_Large_Language_Models_Game_Structure_vs._Contextual_Framing_2023.pdf,Nunzio Lorè,2023,GPT-3.5 is sensitive to contextual framing but lacks abstract strategic reasoning; GPT-4 prioritizes game structure over context with a binary approach; LLaMa-2 shows nuanced understanding of game structures and incorporates contextual factors into decision-making.,"Large Language Models, Game Theory, Contextual Framing, Strategic Decision-making"
Park - Diminished Diversity-of-Thought in a Standard Large Language Model (2023).pdf,Park,2023,"Using Large Language Models (LLMs) like GPT3.5 to simulate human participants in social science studies resulted in a 'correct answer' effect with minimal variation in responses, raising doubts on their validity as replacements for human participants. LLMs showed a diminished diversity-of-thought, indicating limitations in their application in social science research.","Large Language Models, GPT3.5, social science, diversity of thought, replication, psychology"
Qingyun_Wu_AutoGen__Enabling_Next-Gen_LLM_Applications_via_Multi-Agent_Conversation_2023.pdf,Qingyun Wu,2023,"AutoGen is a framework that enables developers to build applications using multi-agent conversations with customizable and conversable agents, supporting various modes of operation. The framework simplifies the development of applications by programming interactions between agents through conversation-centric computation and control.","AutoGen, multi-agent conversations, LLM applications"
